500 2500 50 50
1 82 30
1 94 31
1 159 50
1 242 17
1 261 10
1 457 40
2 106 4
2 265 27
2 320 39
2 468 44
3 64 26
3 186 27
3 216 35
3 252 25
4 51 30
4 179 15
4 182 48
4 185 37
4 205 36
4 268 25
4 497 28
5 166 27
5 266 39
5 268 50
5 281 23
5 421 33
6 2 13
6 175 5
6 319 27
6 325 46
6 471 12
6 479 8
7 5 28
7 136 13
7 193 25
7 269 38
7 400 3
8 394 28
8 403 14
8 441 43
9 4 23
9 37 40
9 172 21
9 288 7
9 335 16
9 385 2
10 40 23
10 85 13
10 100 38
10 134 8
10 188 40
10 204 18
10 237 34
10 273 30
10 344 19
10 350 7
10 464 14
11 27 31
11 145 13
11 260 42
11 310 29
11 407 26
11 425 49
11 434 6
12 198 38
12 318 23
12 340 43
12 344 42
12 398 2
13 28 9
13 69 36
13 196 27
13 236 50
13 430 6
13 433 35
14 64 15
14 182 8
14 221 8
14 406 29
14 419 47
15 445 15
16 5 20
16 24 14
16 51 1
16 227 1
17 142 33
17 370 7
17 409 14
17 436 15
17 466 21
18 19 5
18 132 43
18 477 46
19 2 4
19 65 49
19 104 35
19 145 28
20 42 41
20 74 29
20 116 30
20 278 1
20 332 14
20 398 6
20 497 50
21 195 22
21 253 40
21 340 16
21 462 29
22 31 47
22 33 47
22 236 27
23 215 14
23 300 16
23 365 43
24 2 14
24 105 17
24 174 25
24 328 22
25 442 30
26 253 41
27 44 42
27 135 37
27 348 34
27 390 39
27 490 40
28 45 32
28 273 25
28 402 17
29 20 24
29 305 3
29 322 48
29 360 25
29 495 19
30 58 3
30 213 24
30 260 40
30 309 45
30 430 40
30 458 20
30 461 43
31 43 36
31 72 46
31 199 6
31 394 3
31 409 38
31 411 21
31 422 21
32 41 14
32 120 42
32 146 3
32 169 5
32 220 35
32 284 39
32 342 38
32 410 23
32 446 28
33 62 21
33 222 50
33 229 46
34 37 44
34 223 2
34 376 44
35 16 20
35 70 22
35 349 48
36 153 44
36 456 11
37 188 44
37 220 35
37 258 30
37 306 39
37 335 22
37 471 26
38 75 44
38 191 24
38 329 15
39 240 17
39 264 45
39 358 29
39 466 8
40 11 47
40 34 35
40 332 43
41 143 35
41 177 24
42 24 17
42 37 14
42 82 44
42 111 16
42 119 11
42 370 39
43 137 20
43 184 4
43 205 9
43 214 41
43 362 4
44 440 2
44 448 4
45 35 49
45 64 38
45 254 33
45 283 37
45 311 9
45 415 10
45 418 33
45 491 32
46 67 25
46 120 49
46 173 28
46 249 5
46 423 6
47 20 26
47 77 39
47 165 50
47 257 12
47 349 14
47 431 17
47 491 27
48 132 7
48 310 34
49 2 38
49 207 45
49 218 5
49 480 43
50 52 3
50 97 48
50 99 48
50 101 6
50 312 1
50 418 47
50 494 43
50 497 33
51 166 33
51 172 3
51 337 45
51 371 15
51 466 37
52 13 21
52 271 13
52 355 16
52 387 25
52 400 21
52 445 42
53 139 15
53 216 20
53 240 5
53 288 28
54 25 38
54 38 32
54 42 36
54 65 24
54 117 21
54 130 32
